"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C123","CAPC0402(1005)60_N","1502.599mil","2671.377mil","1502.599mil","2671.377mil","1502.599mil","2689.093mil","B","270.00","CAP_0402"
"C124","CAPC0402(1005)60_N","1196.22mil","2538.269mil","1196.22mil","2538.269mil","1196.22mil","2520.553mil","B","90.00","CAP_0402"
"C125","CAPC0402(1005)60_N","2145.669mil","2753.937mil","2145.669mil","2753.937mil","2145.669mil","2771.653mil","B","270.00","CAP_0402"
"C126","CAPC0402(1005)60_N","1095.118mil","2670.392mil","1095.118mil","2670.392mil","1095.118mil","2688.108mil","B","270.00","CAP_0402"
"C127","CAPC0402(1005)60_N","1146.3mil","2670.392mil","1146.3mil","2670.392mil","1146.3mil","2688.108mil","B","270.00","CAP_0402"
"C128","CAPC0402(1005)60_N","1196.496mil","2670.392mil","1196.496mil","2670.392mil","1196.496mil","2688.108mil","B","270.00","CAP_0402"
"C129","CAPC0402(1005)60_N","1970.984mil","2861.89mil","1970.984mil","2861.89mil","1988.7mil","2861.89mil","B","180.00","CAP_0402"
"C130","CAPC0402(1005)60_N","2143.228mil","2875.669mil","2143.228mil","2875.669mil","2143.228mil","2893.385mil","B","270.00","CAP_0402"
"C131","CAPC0402(1005)60_N","1970mil","2924.882mil","1970mil","2924.882mil","1987.716mil","2924.882mil","B","180.00","CAP_0402"
"C132","CAPC0402(1005)60_N","2143.228mil","2971.142mil","2143.228mil","2971.142mil","2143.228mil","2953.426mil","B","90.00","CAP_0402"
"C133","CAPC0402(1005)60_N","1973.425mil","2800.197mil","1973.425mil","2800.197mil","1991.141mil","2800.197mil","B","180.00","CAP_0402"
"C134","CAPC0402(1005)60_N","1246.693mil","2670.392mil","1246.693mil","2670.392mil","1246.693mil","2688.108mil","B","270.00","CAP_0402"
"C135","CAPC0402(1005)60_N","1296.89mil","2670.392mil","1296.89mil","2670.392mil","1296.89mil","2688.108mil","B","270.00","CAP_0402"
"C136","CAPC0402(1005)60_N","1349.055mil","2670.392mil","1349.055mil","2670.392mil","1349.055mil","2688.108mil","B","270.00","CAP_0402"
"C137","CAPC0402(1005)60_N","1399.252mil","2670.392mil","1399.252mil","2670.392mil","1399.252mil","2688.108mil","B","270.00","CAP_0402"
"C138","CAPC0402(1005)60_N","1145.039mil","2538.269mil","1145.039mil","2538.269mil","1145.039mil","2520.553mil","B","90.00","CAP_0402"
"C139","CAPC0402(1005)60_N","1093.858mil","2538.269mil","1093.858mil","2538.269mil","1093.858mil","2520.553mil","B","90.00","CAP_0402"
"C140","CAPC1206(3216)100_N","1020.669mil","2576.772mil","1020.669mil","2576.772mil","1020.669mil","2517.716mil","T","90.00","CAP_1206"
"C141","CAPC1206(3216)100_N","1114.173mil","2576.772mil","1114.173mil","2576.772mil","1114.173mil","2517.716mil","T","90.00","CAP_1206"
"C142","CAPC1206(3216)100_N","1208.031mil","2576.889mil","1208.031mil","2576.889mil","1208.031mil","2517.833mil","T","90.00","CAP_1206"
"C143","CAPC0603(1608)100_N","1491.772mil","2666.222mil","1491.772mil","2666.222mil","1491.772mil","2697.718mil","T","270.00","CAP_0603"
"C144","CAPC0603(1608)100_N","1352.349mil","2666.222mil","1352.349mil","2666.222mil","1352.349mil","2697.718mil","T","270.00","CAP_0603"
"C145","CAPC0603(1608)100_N","1422.598mil","2544.408mil","1422.598mil","2544.408mil","1422.598mil","2512.912mil","T","90.00","CAP_0603"
"C146","CAPC0603(1608)100_N","1490.512mil","2544.408mil","1490.512mil","2544.408mil","1490.512mil","2512.912mil","T","90.00","CAP_0603"
"C147","CAPC0603(1608)100_N","1287.402mil","2666.339mil","1287.402mil","2666.339mil","1287.402mil","2697.835mil","T","270.00","CAP_0603"
"C148","CAPC0402(1005)60_N","1451.772mil","2536.417mil","1451.772mil","2536.417mil","1451.772mil","2518.701mil","B","90.00","CAP_0402"
"C149","CAPC0402(1005)60_N","1400.237mil","2536.534mil","1400.237mil","2536.534mil","1400.237mil","2518.818mil","B","90.00","TMK105BJ104KV-F"
"C150","CAPC0402(1005)60_N","1350.04mil","2537.518mil","1350.04mil","2537.518mil","1350.04mil","2519.802mil","B","90.00","TMK105BJ104KV-F"
"C151","CAPC0603(1608)100_N","1356.199mil","2544.408mil","1356.199mil","2544.408mil","1356.199mil","2512.912mil","T","90.00","CAP_0603"
"C152","CAPC0603(1608)100_N","1286.866mil","2544.408mil","1286.866mil","2544.408mil","1286.866mil","2512.912mil","T","90.00","CAP_0603"
"C153","CAPC0603(1608)100_N","1420.906mil","2666.222mil","1420.906mil","2666.222mil","1420.906mil","2697.718mil","T","270.00","CAP_0603"
"C154","CAPC1206(3216)100_N","927.165mil","2576.772mil","927.165mil","2576.772mil","927.165mil","2517.716mil","T","90.00","CAP_1206"
"C155","CAPC0402(1005)60_N","1502.953mil","2536.417mil","1502.953mil","2536.417mil","1502.953mil","2518.701mil","B","90.00","CAP_0402"
"C156","CAPC0402(1005)60_N","2082.677mil","2752.953mil","2082.677mil","2752.953mil","2082.677mil","2735.237mil","B","90.00","CAP_0603"
"C157","CAPC0402(1005)60_N","3385.827mil","2149.608mil","3385.827mil","2149.608mil","3385.827mil","2167.324mil","B","270.00","CAP_0402"
"C158","CAPC0402(1005)60_N","3246.063mil","2750.986mil","3246.063mil","2750.986mil","3246.063mil","2733.27mil","B","90.00","CAP_0402"
"C159","CAPC0402(1005)60_N","3177.166mil","2706.694mil","3177.166mil","2706.694mil","3159.45mil","2706.694mil","B","360.00","CAP_0402"
