s,DDR3_A5_U5.P2_NoTerm,DDR3_A5_U4.P2_NoTerm,DDR3_A5_U2.K5_NoTerm
3.04678970941552E-9,1.30674660205841,1.30685722827911,1.19033479690552
3.08535663684495E-9,1.27993726730347,1.28004586696625,1.1928037405014
3.12392356427438E-9,1.25265419483185,1.25272071361542,1.19700407981873
3.16249049170381E-9,1.23035860061646,1.23035645484924,1.20120453834534
3.20105741913324E-9,1.2180323600769,1.21796131134033,1.21447825431824
3.23962434656266E-9,1.21591627597809,1.21580171585083,1.22775197029114
3.27819127399209E-9,1.22154402732849,1.22142767906189,1.24081444740295
3.31675842346613E-9,1.23086130619049,1.23078644275665,1.25387704372406
3.35532535089555E-9,1.23830831050873,1.23830211162567,1.25560903549194
3.39389227832498E-9,1.24105048179626,1.24111473560333,1.25734102725983
3.43245920575441E-9,1.23745036125183,1.23756086826324,1.24936163425446
3.47102613318384E-9,1.22897565364838,1.22909033298492,1.24138224124908
3.50959306061327E-9,1.21910488605499,1.21918106079102,1.23454475402832
3.5481599880427E-9,1.21094298362732,1.21095216274261,1.22770738601685
3.58672713751673E-9,1.20780003070831,1.20773923397064,1.2285612821579
3.62529406494616E-9,1.21023714542389,1.21012997627258,1.22941505908966
3.66386099237559E-9,1.21727311611176,1.2171596288681,1.23403429985046
3.70242791980502E-9,1.22664201259613,1.22656488418579,1.23865354061127
3.74099506927905E-9,1.23497247695923,1.23495972156525,1.239426612854
3.77956199670848E-9,1.24028992652893,1.24034535884857,1.24019956588745
3.81812892413791E-9,1.24113953113556,1.24124157428741,1.23581314086914
3.85669585156734E-9,1.23805475234985,1.23816454410553,1.23142659664154
3.89526277899677E-9,1.23281073570251,1.23288762569427,1.22733938694
3.9338297064262E-9,1.22736525535583,1.22738111019135,1.22325217723846
3.97239663385562E-9,1.22406375408173,1.22401416301727,1.22391819953918
4.01096356128505E-9,1.22370767593384,1.22361254692078,1.22458410263062
4.04953048871448E-9,1.22631347179413,1.22620904445648,1.22828817367554
4.08809741614391E-9,1.23079335689545,1.23071897029877,1.23199212551117
4.12666434357334E-9,1.23525881767273,1.23524129390717,1.23390531539917
4.16523127100277E-9,1.23839831352234,1.23844289779663,1.23581838607788
4.2037981984322E-9,1.23904705047607,1.2391357421875,1.23418402671814
4.24236512586162E-9,1.23728311061859,1.23738145828247,1.2325496673584
4.28093205329105E-9,1.2339243888855,1.23399591445923,1.23015213012695
4.31949942480969E-9,1.23009896278381,1.23011755943298,1.22775447368622
4.35806635223912E-9,1.22728490829468,1.22724509239197,1.22774910926819
4.39663327966855E-9,1.22614455223083,1.22606289386749,1.22774362564087
4.43520020709798E-9,1.22696208953857,1.22686994075775,1.22982144355774
4.47376713452741E-9,1.22923851013184,1.22917056083679,1.23189914226532
4.51233406195684E-9,1.23194444179535,1.23192524909973,1.23328864574432
