s,DDR3_A1_U5.P7_NoTerm,DDR3_A1_U4.P7_NoTerm,DDR3_A1_U2.M5_NoTerm
5.7357794069901E-9,0.240202873945236,0.240128189325333,0.363388478755951
5.78166536868707E-9,0.209157824516296,0.209221661090851,0.370831042528152
5.82755177447325E-9,0.184692680835724,0.184837907552719,0.355254650115967
5.87343773617022E-9,0.168067812919617,0.168200954794884,0.339678436517715
5.91932414195639E-9,0.160998195409775,0.16103720664978,0.320931911468506
5.96521054774257E-9,0.164475962519646,0.164388254284859,0.302185416221619
6.01109650943954E-9,0.17669703066349,0.176523357629776,0.288766354322433
6.05698291522572E-9,0.193098545074463,0.192926615476608,0.275347143411636
6.10286932101189E-9,0.20932848751545,0.209245026111603,0.263909965753555
6.14875528270886E-9,0.221981376409531,0.222029939293861,0.252472877502441
6.19464168849504E-9,0.230085223913193,0.230238020420074,0.243705481290817
6.24052765019201E-9,0.234942272305489,0.235119462013245,0.234938159584999
6.28641405597818E-9,0.238279893994331,0.238392204046249,0.23226335644722
6.33230046176436E-9,0.241644978523254,0.241638645529747,0.229588538408279
6.37818642346133E-9,0.245440617203712,0.245326906442642,0.231098532676697
6.42407282924751E-9,0.248926475644112,0.248771354556084,0.232608541846275
6.46995879094447E-9,0.251246482133865,0.25113382935524,0.234167069196701
6.51584519673065E-9,0.251743733882904,0.251731902360916,0.235725611448288
6.56173160251683E-9,0.250495761632919,0.250586628913879,0.236410290002823
6.6076175642138E-9,0.248291596770287,0.248433440923691,0.237094953656197
6.65350396999997E-9,0.245985418558121,0.246102541685104,0.238135993480682
6.69939037578615E-9,0.244301334023476,0.244334056973457,0.239177018404007
6.74527633748312E-9,0.243445232510567,0.2433812469244,0.240461528301239
6.7911627432693E-9,0.243124425411224,0.243001997470856,0.241746053099632
6.83704870496626E-9,0.242943078279495,0.242828503251076,0.242251023650169
6.88293511075244E-9,0.242539316415787,0.242491364479065,0.242756009101868
6.92882151653862E-9,0.241834729909897,0.241873979568481,0.242538139224052
6.97470747823559E-9,0.241033270955086,0.24113404750824,0.242320284247398
7.02059388402176E-9,0.240383848547935,0.240490227937698,0.242154657840729
7.06647984571873E-9,0.240099400281906,0.240155726671219,0.24198904633522
7.11236625150491E-9,0.240203648805618,0.240183725953102,0.242029160261154
7.15825265729109E-9,0.240535885095596,0.240454524755478,0.242069274187088
7.20413861898805E-9,0.240902528166771,0.240805387496948,0.241981536149979
7.25002502477423E-9,0.241131499409676,0.241069763898849,0.241893783211708
7.29591143056041E-9,0.241175636649132,0.241178914904594,0.241670519113541
7.34179739225738E-9,0.241109415888786,0.241171985864639,0.241447269916534
7.38768379804355E-9,0.241036519408226,0.24112243950367,0.241343915462494
7.43356975974052E-9,0.241052329540253,0.241115778684616,0.241240575909615
7.4794561655267E-9,0.24117673933506,0.24118646979332,0.241282150149345
7.52534212722367E-9,0.241354912519455,0.241309314966202,0.241323709487915
7.57122897709905E-9,0.241514787077904,0.241440892219543,0.241345882415771
7.61711493879602E-9,0.241591975092888,0.241529732942581,0.241368055343628
7.66300090049299E-9,0.241573512554169,0.241554260253906,0.241335824131966
7.70888775036838E-9,0.241497159004211,0.24152809381485,0.241303592920303
7.75477371206534E-9,0.241414397954941,0.241476386785507,0.241301625967026
7.80065967376231E-9,0.241372525691986,0.241431653499603,0.241299644112587
7.84654563545928E-9,0.241384625434875,0.241410627961159,0.241338893771172
7.89243248533467E-9,0.241429373621941,0.241410985589027,0.241378158330917
7.93831844703163E-9,0.241474241018295,0.241423368453979,0.241398483514786
7.9842044087286E-9,0.24148865044117,0.241434097290039,0.241418823599815
8.03009125860399E-9,0.241464376449585,0.241434291005135,0.241408258676529
8.07597722030096E-9,0.241416662931442,0.241424828767776,0.241397693753242
8.12186318199792E-9,0.241369411349297,0.241409406065941,0.241392508149147
8.16775003187331E-9,0.241345301270485,0.241394355893135,0.24138730764389
8.21363599357028E-9,0.241351366043091,0.241383731365204,0.241396769881248
8.25952195526725E-9,0.241377890110016,0.241377979516983,0.241406232118607
8.30540791696421E-9,0.241407707333565,0.241377547383308,0.241409689188004
8.3512947668396E-9,0.241423532366753,0.241381138563156,0.241413161158562
8.39718072853657E-9,0.241418763995171,0.241386085748672,0.241405889391899
8.44306669023354E-9,0.241399139165878,0.241392567753792,0.241398617625237
8.48895354010892E-9,0.24137669801712,0.241397812962532,0.241394400596619
