s,DDR3_DQS0_P_U4.F3_NoTerm,DDR3_DQS0_P_U2.C2_NoTerm
5.91467941291057E-9,0.530903398990631,0.469801098108292
5.96566795962872E-9,0.523393273353577,0.45412266254425
6.01665650634686E-9,0.515883207321167,0.442655175924301
6.06764505306501E-9,0.508373141288757,0.435362666845322
6.11863359978315E-9,0.500863015651703,0.430656880140305
6.1696221465013E-9,0.491131544113159,0.427542001008987
6.22061113730865E-9,0.481400012969971,0.426016062498093
6.2715996840268E-9,0.471668571233749,0.426073879003525
6.32258823074494E-9,0.461937099695206,0.427112758159637
6.37357677746309E-9,0.457319855690002,0.428754806518555
6.42456532418123E-9,0.452702581882477,0.430484622716904
6.47555387089938E-9,0.448085337877274,0.431977659463882
6.52654241761752E-9,0.44346809387207,0.433331817388535
6.57753140842487E-9,0.441769033670425,0.434607177972794
6.62851995514302E-9,0.440070003271103,0.435684651136398
6.67950850186116E-9,0.438370943069458,0.436489850282669
6.73049704857931E-9,0.436671912670135,0.437128216028214
6.78148559529745E-9,0.436630964279175,0.437665492296219
6.8324741420156E-9,0.436589986085892,0.438063740730286
6.88346313282295E-9,0.436549007892609,0.43829944729805
6.9344516795411E-9,0.436508059501648,0.438435047864914
6.98544022625924E-9,0.436706781387329,0.438509583473206
7.03642877297739E-9,0.436905473470688,0.438537389039993
7.08741731969553E-9,0.437104165554047,0.438527584075928
7.13840586641368E-9,0.437302887439728,0.438494265079498
7.18939441313182E-9,0.437468320131302,0.438446313142776
7.24038340393918E-9,0.437633782625198,0.438393324613571
7.29137195065732E-9,0.437799245119095,0.438341319561005
7.34236049737547E-9,0.437964677810669,0.438289791345596
7.39334904409361E-9,0.438007831573486,0.438238471746445
7.44433759081176E-9,0.438050955533981,0.438195109367371
7.4953261375299E-9,0.438094079494476,0.43816465139389
7.54631468424805E-9,0.438137233257294,0.438142061233521
7.59730323096619E-9,0.438145697116852,0.438124179840088
7.64829177768434E-9,0.43815416097641,0.438110828399658
7.69928032440248E-9,0.438162624835968,0.438101768493652
7.75026975929904E-9,0.438171088695526,0.438095390796661
7.80125830601719E-9,0.438160181045532,0.438090652227402
7.85224685273533E-9,0.438149303197861,0.438088059425354
7.90323539945348E-9,0.438138425350189,0.438087910413742
7.95422394617162E-9,0.438127517700195,0.438089489936829
8.00521249288977E-9,0.438123762607574,0.438091665506363
8.05620103960791E-9,0.438119977712631,0.438093930482864
8.10718958632606E-9,0.438116192817688,0.438095659017563
8.1581781330442E-9,0.438112437725067,0.43809711933136
8.20916667976235E-9,0.438109487295151,0.438098400831223
8.26015522648049E-9,0.438106536865234,0.438099533319473
8.31114377319864E-9,0.43810361623764,0.438100576400757
8.36213231991678E-9,0.438100665807724,0.438101530075073
8.41312175481335E-9,0.438101023435593,0.438100904226303
8.46411030153149E-9,0.438101381063461,0.438103258609772
8.51509884824964E-9,0.43810173869133,0.438103586435318
8.56608739496778E-9,0.438102096319199,0.438103169202805
8.61707594168593E-9,0.438102036714554,0.438104063272476
8.66806448840407E-9,0.438102006912231,0.43810248374939
8.71905303512222E-9,0.438101947307587,0.438102960586548
8.77004158184036E-9,0.438101887702942,0.438102513551712
8.8210301285585E-9,0.438102185726166,0.43810373544693
8.97399576871294E-9,0.438103079795837,0.438103646039963
9.02498431543108E-9,0.438103020191193,0.438103556632996
9.07597375032765E-9,0.438102960586548,0.43810361623764
9.12696229704579E-9,0.438102900981903,0.438103437423706
9.17795084376394E-9,0.438102841377258,0.43810373544693
9.22893939048208E-9,0.438103020191193,0.438103169202805
9.27992793720023E-9,0.438103228807449,0.438104242086411
9.33091648391837E-9,0.438103437423706,0.438103914260864
9.38190503063652E-9,0.43810361623764,0.438104212284088
9.43289357735466E-9,0.438103497028351,0.438103407621384
9.48388212407281E-9,0.438103377819061,0.438104629516602
9.53487067079095E-9,0.438103228807449,0.438104152679443
9.5858592175091E-9,0.43810310959816,0.438104659318924
9.63684776422724E-9,0.438103437423706,0.438103348016739
9.68783631094539E-9,0.438103765249252,0.438103348016739
9.73882574584195E-9,0.438104122877121,0.438103288412094
9.7898142925601E-9,0.438104450702667,0.438103348016739
9.84080283927824E-9,0.438104182481766,0.438103169202805
9.89179138599638E-9,0.438103914260864,0.438103407621384
9.94277993271453E-9,0.438103675842285,0.438102900981903
9.99376847943267E-9,0.438103407621384,0.438103884458542
1.00447570261508E-8,0.438103407621384,0.438102096319199
