s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
4.33526992082989E-9,-0.00468763802200556,-0.00468763429671526,0.0263813696801662,0.0238127149641514,0.0238127149641514,0.177093714475632
4.37468150593645E-9,-0.011696832254529,-0.0116968294605613,0.0252733007073402,0.0198439564555883,0.0198439564555883,0.180299028754234
4.41409309104301E-9,-0.0166094042360783,-0.0166094023734331,0.0241652298718691,0.0230071749538183,0.0230071749538183,0.183504343032837
4.45350467614958E-9,-0.020187720656395,-0.0201877225190401,0.0219690706580877,0.0285916347056627,0.0285916347056627,0.168155044317245
4.49291626125614E-9,-0.0227277353405952,-0.0227277372032404,0.0197729095816612,0.0355473682284355,0.0355473682284355,0.152805745601654
4.5323278463627E-9,-0.0232816319912672,-0.0232816338539124,0.0175767503678799,0.045027382671833,0.045027382671833,0.137456461787224
4.57173898738006E-9,-0.0213814601302147,-0.0213814619928598,0.0153806144371629,0.0571990571916103,0.0571990571916103,0.122107334434986
4.61115057248662E-9,-0.017738027498126,-0.017738027498126,0.0135816438123584,0.0708915665745735,0.0708915665745735,0.101009473204613
4.65056215759319E-9,-0.0131376162171364,-0.0131376162171364,0.0117826741188765,0.0840963274240494,0.0840963274240494,0.0799116045236588
4.68997374269975E-9,-0.0079610850661993,-0.00796108320355415,0.00998370349407196,0.0941586866974831,0.0941586866974831,0.0588137395679951
4.72938532780631E-9,-0.0021807998418808,-0.00218079681508243,0.00818473286926746,0.101675912737846,0.101675912737846,0.0377158746123314
4.76879691291288E-9,0.00427527306601405,0.00427527539432049,0.00783762149512768,0.108911618590355,0.108911618590355,0.026405606418848
4.80820849801944E-9,0.0108484197407961,0.0108484206721187,0.00749050918966532,0.114609010517597,0.114609010517597,0.0150953372940421
4.847620083126E-9,0.0163325611501932,0.0163325592875481,0.00714339781552553,0.115183025598526,0.115183025598526,0.00378506793640554
4.88703166823257E-9,0.0204181503504515,0.0204181484878063,0.00679628597572446,0.111090160906315,0.111090160906315,-0.00752520095556974
4.92644325333913E-9,0.0238184221088886,0.0238184183835983,0.00679628597572446,0.105516701936722,0.105516701936722,-0.00752520095556974
4.96585483844569E-9,0.0265781842172146,0.0265781804919243,0.00679628597572446,0.0988314598798752,0.0988314598798752,-0.00752520095556974
